,cls 0,cls 1,cls 2,cls 3,cls 4,mean,model,type,n_DB
shhs2-202600,0.974814832,0.95011878,0.357142866,0.771371782,0.909294486,0.792548549,TinyUStaging,EEG+EOG,6
shhs1-202508,0.928767145,0.820512831,0.129032254,0.800000012,0.59842521,0.65534749,TinyUStaging,EEG+EOG,6
shhs2-203562,0.958448768,0.884259284,0.466666669,0.884801567,0.739926755,0.786820608,TinyUStaging,EEG+EOG,6
shhs2-204609,0.97372061,0.963855445,0.646153867,0.889795899,0.888073385,0.872319841,TinyUStaging,EEG+EOG,6
shhs1-201830,0.934114218,0.973544955,0.447761208,0.723270416,0.56934309,0.729606777,TinyUStaging,EEG+EOG,6
shhs1-201576,0.920332909,0.75,0.524999976,0.773082972,0.767045438,0.747092259,TinyUStaging,EEG+EOG,6
shhs1-205553,0.95922333,0.94765842,0.536585391,0.930866599,0.70588237,0.816043222,TinyUStaging,EEG+EOG,6
shhs1-202921,0.832214773,0.826086938,0.203389823,0.894736826,0.734883726,0.698262417,TinyUStaging,EEG+EOG,6
shhs1-203241,0.942003489,0.918367326,0.179104477,0.630769253,0.546728969,0.643394703,TinyUStaging,EEG+EOG,6
shhs1-201482,0.964980543,0.965174139,0.5,0.909299672,0.233766228,0.714644116,TinyUStaging,EEG+EOG,6
shhs1-205045,0.973180056,0.944237947,0.482758611,0.780788183,0.644670069,0.765126973,TinyUStaging,EEG+EOG,6
shhs2-203986,0.96669513,0.938775539,0.511627913,0.915074289,0.719512224,0.810337019,TinyUStaging,EEG+EOG,6
shhs2-204718,0.967661679,0.923076928,0.634920657,0.936078012,0.875,0.867347455,TinyUStaging,EEG+EOG,6
shhs1-202589,0.970212758,0.980676353,0.782608688,0.764976978,0.646153867,0.828925729,TinyUStaging,EEG+EOG,6
shhs1-201959,0.92592591,0.972222209,0.541666687,0.918330312,0.735537171,0.818736458,TinyUStaging,EEG+EOG,6
shhs1-205008,0.572307706,0.980842888,0.459459454,0.766002119,0.813114762,0.718345386,TinyUStaging,EEG+EOG,6
shhs1-205311,0.971222997,0.956989229,0.53125,0.82505399,0.276595742,0.712222391,TinyUStaging,EEG+EOG,6
shhs2-200639,0.976678431,0.955294132,0.476190478,0.901149452,0.816143513,0.825091201,TinyUStaging,EEG+EOG,6
shhs1-200945,0.949152529,0.96219933,0.639999986,0.939419091,0.649999976,0.828154182,TinyUStaging,EEG+EOG,6
shhs2-205024,0.933837414,0.890510976,0.363636374,0.855319142,0.770053446,0.762671471,TinyUStaging,EEG+EOG,6
shhs2-201534,0.975609779,0.830409348,0.70588237,0.935281813,0.53125,0.795686662,TinyUStaging,EEG+EOG,6
shhs2-205335,0.948766589,0.893890679,0.442477882,0.783919573,0.352941185,0.684399182,TinyUStaging,EEG+EOG,6
shhs1-204065,0.911627889,0.903010011,0.482758611,0.869448185,0.802228391,0.793814617,TinyUStaging,EEG+EOG,6
shhs1-200172,0.831325293,0.836363614,0.232558146,0.88089329,0.894179881,0.735064045,TinyUStaging,EEG+EOG,6
shhs1-203311,0.936454833,0.911591351,0.538461566,0.92116183,0.888157904,0.839165497,TinyUStaging,EEG+EOG,6
shhs1-202416,0.861297548,0.875,0.653937936,0.72380954,0.425531924,0.70791539,TinyUStaging,EEG+EOG,6
shhs1-202592,0.940366983,0.873994648,0.074074075,0.796721339,0.752212405,0.68747389,TinyUStaging,EEG+EOG,6
shhs2-204575,0.980169952,0.960698664,0.470588237,0.949152529,0.898989916,0.85191986,TinyUStaging,EEG+EOG,6
SC4712E0,0.971967399,0.866666675,0.587301612,0.907348216,0,0.66665678,TinyUStaging,EEG+EOG,6
SC4822G0,0.986886084,0.837905228,0.486772478,0.85785538,0.879056036,0.809695041,TinyUStaging,EEG+EOG,6
SC4041E0,0.981157005,0.824096382,0.669975162,0.924103439,0.762886584,0.832443714,TinyUStaging,EEG+EOG,6
SC4191E0,0.9691661,0.88401252,0.457831323,0.906210423,0.908296943,0.825103462,TinyUStaging,EEG+EOG,6
SC4321E0,0.985819638,0.893238425,0.289855063,0.793582916,0,0.592499208,TinyUStaging,EEG+EOG,6
SC4181E0,0.989987135,0.846153855,0.300000012,0.792963445,0.837837815,0.753388453,TinyUStaging,EEG+EOG,6
SC4011E0,0.993036985,0.949852526,0.696517408,0.920577645,0.828828812,0.877762675,TinyUStaging,EEG+EOG,6
SC4761E0,0.975562096,0.815789461,0.376811594,0.789333344,0.478260875,0.687151474,TinyUStaging,EEG+EOG,6
SC4142E0,0.989919364,0.940366983,0.380952388,0.924433231,0.909774423,0.829089278,TinyUStaging,EEG+EOG,6
SC4012E0,0.993413806,0.902702689,0.603351951,0.926267266,0.748768449,0.834900832,TinyUStaging,EEG+EOG,6
SC4711E0,0.96242696,0.793893158,0.498039216,0.850321412,0,0.620936149,TinyUStaging,EEG+EOG,6
SC4192E0,0.968439519,0.817699134,0.404858291,0.89840883,0.707317054,0.759344566,TinyUStaging,EEG+EOG,6
SC4532E0,0.992739975,0.931034505,0.644688666,0.900465131,0.465753436,0.786936343,TinyUStaging,EEG+EOG,6
SC4322E0,0.990379155,0.889380515,0.627986372,0.892039239,0,0.679957056,TinyUStaging,EEG+EOG,6
SC4141E0,0.987467349,0.962499976,0.372093022,0.902097881,0.821705401,0.809172726,TinyUStaging,EEG+EOG,6
SC4731E0,0.96389246,0.763358772,0.406779647,0.787321091,0,0.584270394,TinyUStaging,EEG+EOG,6
SC4531E0,0.986774027,0.942148745,0.482517481,0.804851174,0.564705908,0.756199467,TinyUStaging,EEG+EOG,6
SC4821G0,0.994328916,0.954248369,0.476190478,0.893203855,0.89425981,0.842446285,TinyUStaging,EEG+EOG,6
SC4302E0,0.988902032,0.870503604,0.490740746,0.872162461,0.560000002,0.756461769,TinyUStaging,EEG+EOG,6
SC4732E0,0.961332917,0.915129125,0.664141417,0.795396447,0,0.667199981,TinyUStaging,EEG+EOG,6
SC4762E0,0.956614316,0.375939846,0.323353291,0.46305418,0,0.423792326,TinyUStaging,EEG+EOG,6
SC4042E0,0.985835671,0.860377371,0.508287311,0.893401027,0.832369924,0.816054261,TinyUStaging,EEG+EOG,6
SC4182E0,0.985922217,0.685950398,0.481327802,0.859130442,0.937931061,0.790052384,TinyUStaging,EEG+EOG,6
SC4301E0,0.984193861,0.717325211,0.446215153,0.842105269,0.200000003,0.637967899,TinyUStaging,EEG+EOG,6
tr03-0322,0.662721872,0.932835817,0.471042484,0.88323915,0.880382776,0.76604442,TinyUStaging,EEG+EOG,6
tr12-0532,0.824949682,0.640394092,0.612466097,0.864265919,0.88397789,0.765210736,TinyUStaging,EEG+EOG,6
tr04-0020,0.627737224,0.55737704,0.591194987,0.866055071,0.569444418,0.642361748,TinyUStaging,EEG+EOG,6
tr07-0036,0.739130437,0.957095683,0.644295275,0.90204519,0.768361568,0.802185631,TinyUStaging,EEG+EOG,6
tr03-0494,0.827956975,0.917874396,0.751091719,0.885993481,0.873949587,0.851373231,TinyUStaging,EEG+EOG,6
tr03-1197,0.914004922,0.857142866,0.678571403,0.761403501,0.637362659,0.76969707,TinyUStaging,EEG+EOG,6
tr13-0525,0.729833543,0,0.401084006,0.573875785,0.572916687,0.455542004,TinyUStaging,EEG+EOG,6
tr12-0687,0.157894731,0.807121634,0.351145029,0.907829523,0.77241379,0.599280941,TinyUStaging,EEG+EOG,6
tr05-0403,0.719008267,0.895604372,0.444444448,0.89403975,0.859813094,0.762581986,TinyUStaging,EEG+EOG,6
tr14-0240,0.844036698,0.89635855,0.595041335,0.866593182,0.831250012,0.806655955,TinyUStaging,EEG+EOG,6
tr08-0012,0.482608706,0.862745106,0.653465331,0.942857146,0.916083932,0.771552044,TinyUStaging,EEG+EOG,6
tr05-0812,0.768141568,0.814516127,0.598967314,0.7809847,0.8125,0.755021942,TinyUStaging,EEG+EOG,6
tr13-0383,0.447552443,0.931034505,0.479674786,0.861171365,0.698412716,0.683569163,TinyUStaging,EEG+EOG,6
tr03-1371,0.809523821,0.886426568,0.450819671,0.839285731,0.8125,0.759711158,TinyUStaging,EEG+EOG,6
tr07-0262,0.808383226,0.717948735,0.235294119,0.83606559,0.339622647,0.587462863,TinyUStaging,EEG+EOG,6
tr10-0392,0.815330982,0.851063848,0.45714286,0.826580226,0.919811308,0.773985845,TinyUStaging,EEG+EOG,6
tr12-0573,0.612903237,0.902953565,0.740740716,0.873517811,0.834914625,0.793005991,TinyUStaging,EEG+EOG,6
tr05-1175,0.857142866,0.829545438,0.701149404,0.864059567,0.917127073,0.83380487,TinyUStaging,EEG+EOG,6
tr11-0064,0.740506351,0.839694679,0.525469184,0.816964269,0.766839385,0.737894773,TinyUStaging,EEG+EOG,6
tr04-0255,0.248520717,0.939314008,0.812631607,0.787878811,0.852248371,0.728118703,TinyUStaging,EEG+EOG,6
tr12-0448,0.149253726,0.175438598,0.546816468,0.797066033,0.158878505,0.365490666,TinyUStaging,EEG+EOG,6
tr09-0340,0.671328664,0.87531805,0.700729907,0.820338964,0.899328887,0.793408895,TinyUStaging,EEG+EOG,6
tr07-0325,0.860998631,0.9375,0.657142878,0.864864886,0,0.664101279,TinyUStaging,EEG+EOG,6
tr05-0411,0.653386474,0.823529422,0.289156616,0.707412243,0,0.494696951,TinyUStaging,EEG+EOG,6
tr03-0802,0.858505547,0.874371886,0.645308912,0.809160292,0.817518234,0.800972974,TinyUStaging,EEG+EOG,6
tr03-0167,0.920943141,0.953191519,0.595419824,0.901477814,0.874074101,0.84902128,TinyUStaging,EEG+EOG,6
tr11-0338,0.548611104,0.939226508,0.664615393,0.774803162,0.787330329,0.742917299,TinyUStaging,EEG+EOG,6
tr10-0306,0.823529422,0.918544173,0.41726619,0.782608688,0.645833313,0.717556357,TinyUStaging,EEG+EOG,6
tr05-1146,0.876190484,0.862595439,0.581005573,0.828060508,0.721893489,0.773949099,TinyUStaging,EEG+EOG,6
tr05-0243,0.469135791,0.838983059,0.622857153,0.774315417,0.390697688,0.619197822,TinyUStaging,EEG+EOG,6
tr05-0266,0.639593899,0.801762104,0.666666687,0.907953501,0.579710126,0.719137263,TinyUStaging,EEG+EOG,6
tr05-0332,0.821052611,0.774193525,0.574585617,0.819711566,0.731884062,0.744285476,TinyUStaging,EEG+EOG,6
tr05-0744,0.474285722,0.854961812,0.7218045,0.841145813,0.852459013,0.748931372,TinyUStaging,EEG+EOG,6
tr07-0123,0.729032278,0.887499988,0.793296099,0.747203588,0.222222224,0.675850835,TinyUStaging,EEG+EOG,6
tr11-0059,0.775510192,0.878640771,0.489082962,0.800936759,0.155555561,0.619945249,TinyUStaging,EEG+EOG,6
tr05-1386,0.817777753,0.882506549,0.654708505,0.919597983,0.941176474,0.843153453,TinyUStaging,EEG+EOG,6
tr10-0350,0.837962985,0.98007971,0.623306215,0.796352565,0.841201723,0.81578064,TinyUStaging,EEG+EOG,6
tr12-0476,0.903846145,0.844036698,0.745614052,0.890656054,0.933333337,0.863497257,TinyUStaging,EEG+EOG,6
tr04-0551,0.471910119,0.895833313,0.738636374,0.795755982,0.5625,0.692927158,TinyUStaging,EEG+EOG,6
tr11-0101,0.735202491,0.9375,0.629870117,0.880195618,0.880596995,0.812673044,TinyUStaging,EEG+EOG,6
tr06-0315,0.421052635,0.940170944,0.442105263,0.859716833,0.55384618,0.643378371,TinyUStaging,EEG+EOG,6
tr06-0696,0.865979373,0.858237565,0.564356446,0.905529976,0.942528725,0.827326417,TinyUStaging,EEG+EOG,6
tr09-0220,0.731914878,0.86138612,0.144522145,0.510344803,0.709163368,0.591466263,TinyUStaging,EEG+EOG,6
tr08-0310,0.561403513,0.876033068,0.481481493,0.906488538,0.410958916,0.647273105,TinyUStaging,EEG+EOG,6
tr08-0214,0.811188817,0.822006464,0.641509414,0.833836854,0.764168203,0.77454195,TinyUStaging,EEG+EOG,6
tr11-0335,0.823880613,0.953020155,0.775510192,0.904109597,0.695652187,0.830434549,TinyUStaging,EEG+EOG,6
tr04-0699,0.592592597,0.817679584,0.675000012,0.868894577,0.811594188,0.753152192,TinyUStaging,EEG+EOG,6
tr11-0074,0.946835458,0.901515126,0.542713583,0.777777791,0.935294092,0.82082721,TinyUStaging,EEG+EOG,6
tr03-0863,0.812631607,0.887804866,0.740740716,0.878350496,0.915942013,0.84709394,TinyUStaging,EEG+EOG,6
tr07-0030,0.802919686,0.789808929,0.401826471,0.868980944,0.943589747,0.761425155,TinyUStaging,EEG+EOG,6
tr06-0827,0.695652187,0.852173924,0.376731306,0.649056613,0.753036439,0.665330094,TinyUStaging,EEG+EOG,6
tr03-0411,0.595469236,0.884146333,0.354285717,0.790055275,0.755043209,0.675799954,TinyUStaging,EEG+EOG,6
tr05-0206,0.772277236,0.956521749,0.420382172,0.884324312,0,0.606701094,TinyUStaging,EEG+EOG,6
tr04-0983,0.751879692,0.938159883,0.635294139,0.870967746,0.840336144,0.807327521,TinyUStaging,EEG+EOG,6
tr13-0615,0.424908429,0.943396211,0.71216619,0.843715847,0.678733051,0.720583946,TinyUStaging,EEG+EOG,6
tr09-0636,0.623188376,0.913432837,0.578034699,0.866861045,0.817910433,0.759885478,TinyUStaging,EEG+EOG,6
